"LOCATION_CODE","Occupancy_Right_Desc","OWNED_OR_LEASED_INDICATOR","REGION_CODE","STREET_ADDRESS","CITY","STATE_CD","ZIPCODE5","Latitude","Longitude","BUILDING_RSF","BLD_VACANT_RSF","YEAR_BUILT","WALK_SCORE","TRANSIT_SCORE","CONGRESSIONAL_DISTRICT_CODE","Fed_POC","Fed_POC_Email","REPRESENTATIVE","REPRESENTATIVE_URL","LEASE_NUM","LEASE_EFFECTIVE_DATE","LEASE_EXPIRATION_DATE"
"DC0331","Leased","L","11","500 E ST SW","WASHINGTON","DC","20024","38.88296","-77.018871","206,035","0","2000","83","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0331","Leased","D","11","500 E ST SW","WASHINGTON","DC","20024","38.88296","-77.018871","206,035","0","","83","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00258","8/10/2017","8/9/2032"
"DC0115","Owned","F","11","200 INDEPENDENCE AVE SW","WASHINGTON","DC","20201","38.88675","-77.014481","754,551","0","1976","83","90","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0124","Owned","F","11","734 JACKSON PL NW","WASHINGTON","DC","20006","38.89968","-77.038401","3,319","0","1878","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0068","Leased","L","11","1201 MARYLAND AVE SW","WASHINGTON","DC","20024","38.88468","-77.029411","185,195","73,448","2000","65","89","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0068","Leased","D","11","1201 MARYLAND AVE SW","WASHINGTON","DC","20024","38.88468","-77.029411","185,195","73,448","","65","89","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02207","5/31/2011","5/30/2025"
"DC0068","Leased","D","11","1201 MARYLAND AVE SW","WASHINGTON","DC","20024","38.88468","-77.029411","185,195","73,448","","65","89","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00271","1/31/2018","1/30/2028"
"DC0068","Leased","D","11","1201 MARYLAND AVE SW","WASHINGTON","DC","20024","38.88468","-77.029411","185,195","73,448","","65","89","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12615","12/14/2014","12/13/2029"
"DC0207","Leased","L","11","1275 1ST ST NE","WASHINGTON","DC","20002","38.90664","-77.005371","242,507","0","2008","92","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0207","Leased","D","11","1275 1ST ST NE","WASHINGTON","DC","20002","38.90664","-77.005371","242,507","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00414","2/10/2021","2/9/2036"
"DC0207","Leased","D","11","1275 1ST ST NE","WASHINGTON","DC","20002","38.90664","-77.005371","242,507","0","","92","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00327","5/20/2019","5/19/2034"
"DC1423","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9387899","-77.081077","12,352","0","1965","65","55","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0120","Owned","F","11","718 JACKSON PL NW","WASHINGTON","DC","20006","38.89933","-77.038391","4,983","0","1969","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1432","Owned","F","11","3801 NEBRASKA AVE NW","WASHINGTON","DC","20016","38.9396163","-77.084372","0","0","1916","72","51","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0048","Owned","F","11","600 17TH ST NW","WASHINGTON","DC","20006","38.8974183","-77.039526","68,988","0","1848","91","98","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0217","Leased","L","11","90 K ST NE","WASHINGTON","DC","20002","38.90291","-77.006671","295,373","0","2010","95","87","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0217","Leased","D","11","90 K ST NE","WASHINGTON","DC","20002","38.90291","-77.006671","295,373","0","","95","87","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02253","7/14/2011","1/13/2026"
"DC0217","Leased","D","11","90 K ST NE","WASHINGTON","DC","20002","38.90291","-77.006671","295,373","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00661","8/8/2022","8/7/2032"
"DC0217","Leased","D","11","90 K ST NE","WASHINGTON","DC","20002","38.90291","-77.006671","295,373","0","","95","87","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12727","9/11/2017","9/10/2027"
"DC0217","Leased","D","11","90 K ST NE","WASHINGTON","DC","20002","38.90291","-77.006671","295,373","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00670","8/8/2022","8/7/2028"
"DC0217","Leased","D","11","90 K ST NE","WASHINGTON","DC","20002","38.90291","-77.006671","295,373","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00500","8/31/2021","8/30/2031"
"DC0217","Leased","D","11","90 K ST NE","WASHINGTON","DC","20002","38.90291","-77.006671","295,373","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00691","7/14/2024","7/13/2034"
"DC0217","Leased","D","11","90 K ST NE","WASHINGTON","DC","20002","38.90291","-77.006671","295,373","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00662","6/30/2022","6/29/2032"
"DC0719","Leased","L","11","1015 HALF ST SE","WASHINGTON","DC","20003","38.87828","-77.007631","152,872","0","2000","95","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0719","Leased","D","11","1015 HALF ST SE","WASHINGTON","DC","20003","38.87828","-77.007631","152,872","0","","95","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12617","6/29/2015","6/28/2025"
"DC0358","Leased","L","11","1201 NEW YORK AVE NW","WASHINGTON","DC","20005","38.901024","-77.028548","0","0","2000","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0358","Leased","D","11","1201 NEW YORK AVE NW","WASHINGTON","DC","20005","38.901024","-77.028548","0","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00585","3/6/2022","3/5/2027"
"DC0249","Leased","L","11","45 L ST NE","WASHINGTON","DC","20002","38.90337","-77.007561","473,000","0","2000","87","86","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0249","Leased","D","11","45 L ST NE","WASHINGTON","DC","20002","38.90337","-77.007561","473,000","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00162","7/14/2020","7/13/2035"
"DC1436","Leased","L","11","2101 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20020","38.86534","-76.990091","50,005","0","2000","84","78","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1436","Leased","D","11","2101 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20020","38.86534","-76.990091","50,005","0","","84","78","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12684","2/7/2017","2/6/2027"
"DC0227","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","38,775","0","2013","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0199","Leased","L","11","1735 NEW YORK AVE NW","WASHINGTON","DC","20006","38.89666","-77.041201","51,334","0","1973","96","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0199","Leased","D","11","1735 NEW YORK AVE NW","WASHINGTON","DC","20006","38.89666","-77.041201","51,334","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00484","6/13/2020","6/12/2030"
"DC0013","Owned","F","11","1401 CONSTITUTION AVE NW","WASHINGTON","DC","20004","38.8927754","-77.032782","1,638,379","37,336","1932","76","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0066","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","222,192","0","1859","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0373","Leased","L","11","820 1ST ST NE","WASHINGTON","DC","20002","38.90059","-77.007771","22,195","0","2000","95","90","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0373","Leased","D","11","820 1ST ST NE","WASHINGTON","DC","20002","38.90059","-77.007771","22,195","0","","95","90","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00174","3/10/2016","3/9/2026"
"DC0240","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","39,988","0","2012","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC4200","Leased","L","3","1227 25TH ST NW","WASHINGTON","DC","20037","38.90609","-77.052691","36,647","0","1988","97","87","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC4200","Leased","D","3","1227 25TH ST NW","WASHINGTON","DC","20037","38.90609","-77.052691","36,647","0","","97","87","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","LDC00394","5/21/2019","5/20/2034"
"DC1451","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1924","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0566","Owned","F","11","99 NEW YORK AVE NE","WASHINGTON","DC","20002","38.9083953","-77.005913","324,522","8,610","2007","93","71","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1419","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9379809","-77.080865","1,281","0","1959","65","55","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0406","Leased","L","11","800 N CAPITOL ST NW","WASHINGTON","DC","20002","38.9005","-77.009721","241,036","0","2000","92","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0406","Leased","D","11","800 N CAPITOL ST NW","WASHINGTON","DC","20002","38.9005","-77.009721","241,036","0","","92","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12605","10/31/2012","10/30/2027"
"DC0406","Leased","D","11","800 N CAPITOL ST NW","WASHINGTON","DC","20002","38.9005","-77.009721","241,036","0","","92","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12624","6/29/2013","9/29/2026"
"DC0406","Leased","D","11","800 N CAPITOL ST NW","WASHINGTON","DC","20002","38.9005","-77.009721","241,036","0","","92","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12703","10/31/2015","10/30/2025"
"DC0406","Leased","D","11","800 N CAPITOL ST NW","WASHINGTON","DC","20002","38.9005","-77.009721","241,036","0","","92","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12575","10/31/2012","9/29/2026"
"DC0406","Leased","D","11","800 N CAPITOL ST NW","WASHINGTON","DC","20002","38.9005","-77.009721","241,036","0","","92","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00261","4/29/2018","4/28/2028"
"DC0406","Leased","D","11","800 N CAPITOL ST NW","WASHINGTON","DC","20002","38.9005","-77.009721","241,036","0","","92","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12652","2/26/2015","2/25/2025"
"DC0406","Leased","D","11","800 N CAPITOL ST NW","WASHINGTON","DC","20002","38.9005","-77.009721","241,036","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00592","10/31/2022","10/30/2037"
"DC1269","Leased","L","11","2025 E ST NW","WASHINGTON","DC","20006","38.89642","-77.045801","390,670","0","1947","92","86","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1269","Leased","D","11","2025 E ST NW","WASHINGTON","DC","20006","38.89642","-77.045801","390,670","0","","92","86","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02115","6/30/2009","6/29/2030"
"DC0100","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1902","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0648","Owned","F","11","M STREET SE","WASHINGTON","DC","20370","38.8756044","-76.999252","0","0","1941","93","76","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0081","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1899","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0521","Owned","F","11","1201 CONSTITUTION AVE NW","WASHINGTON","DC","20460","38.8927602","-77.029009","436,678","0","1935","85","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0033","Owned","F","11","330 C ST SW","WASHINGTON","DC","20024","38.8859996","-77.015927","555,887","0","1940","83","91","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0007","Owned","F","11","810 VERMONT AVE NW","WASHINGTON","DC","20005","38.900393","-77.035041","622,816","5,309","1919","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0554","Leased","L","11","401 9TH ST NW","WASHINGTON","DC","20004","38.89544","-77.023641","24,053","0","1999","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0554","Leased","D","11","401 9TH ST NW","WASHINGTON","DC","20004","38.89544","-77.023641","24,053","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00427","6/7/2022","6/6/2037"
"DC1464","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1924","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0127","Owned","F","11","744 JACKSON PL NW","WASHINGTON","DC","20006","38.89987","-77.038271","2,933","0","1968","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC4204","Leased","L","3","1905 9TH ST NE","WASHINGTON","DC","20018","38.91671","-76.993251","7,745","0","2000","82","69","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC4204","Leased","D","3","1905 9TH ST NE","WASHINGTON","DC","20018","38.91671","-76.993251","7,745","0","","","","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","LDC00509","8/31/2020","8/30/2035"
"DC0660","Leased","L","11","1050 1ST ST NE","WASHINGTON","DC","20002","38.903445","-77.006223","99,677","0","2013","95","85","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0660","Leased","D","11","1050 1ST ST NE","WASHINGTON","DC","20002","38.903445","-77.006223","99,677","0","","94","86","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00247","11/30/2017","11/29/2032"
"DC0686","Leased","L","11","3155 V ST NE","WASHINGTON","DC","20018","38.91833","-76.962611","17,500","0","1952","43","40","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0686","Leased","D","11","3155 V ST NE","WASHINGTON","DC","20018","38.91833","-76.962611","17,500","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00747","2/29/2024","2/27/2039"
"DC0426","Leased","L","11","1401 H ST NW","WASHINGTON","DC","20005","38.90054","-77.032531","52,480","0","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0426","Leased","D","11","1401 H ST NW","WASHINGTON","DC","20005","38.90054","-77.032531","52,480","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00525","2/1/2021","1/31/2038"
"DC0852","Leased","L","11","1722 I ST NW","WASHINGTON","DC","20006","38.901","-77.040851","169,201","126,730","2000","100","99","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
