"LOCATION_CODE","Occupancy_Right_Desc","OWNED_OR_LEASED_INDICATOR","REGION_CODE","STREET_ADDRESS","CITY","STATE_CD","ZIPCODE5","Latitude","Longitude","BUILDING_RSF","BLD_VACANT_RSF","YEAR_BUILT","WALK_SCORE","TRANSIT_SCORE","CONGRESSIONAL_DISTRICT_CODE","Fed_POC","Fed_POC_Email","SENATOR1","SENATOR1_URL","SENATOR2","SENATOR2_URL","REPRESENTATIVE","REPRESENTATIVE_URL","LEASE_NUM","LEASE_EFFECTIVE_DATE","LEASE_EXPIRATION_DATE"
"MD1121","Leased","L","3","1531 S EDGEWOOD ST","BALTIMORE","MD","21227","39.260738","-76.667463","7,395","0","2000","45","47","2407","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Mfume, Kweisi (D)","https://mfume.house.gov/","","",""
"MD1121","Leased","D","3","1531 S EDGEWOOD ST","BALTIMORE","MD","21227","39.260738","-76.667463","7,395","0","","65","62","2407","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Mfume, Kweisi (D)","https://mfume.house.gov/","LMD12123","3/20/2016","3/19/2026"
"MD1806","Leased","L","11","1211 PORT ECHO LN","BOWIE","MD","20716","38.90576","-76.721781","64","64","2000","40","27","2405","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Hoyer, Steny (D)","https://hoyer.house.gov/","","",""
"MD1806","Leased","D","11","1211 PORT ECHO LN","BOWIE","MD","20716","38.90576","-76.721781","64","64","","40","27","2405","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Hoyer, Steny (D)","https://hoyer.house.gov/","LMD01788","9/21/2004","1/30/2025"
"MD0721","Leased","L","11","5630 FISHERS LN","ROCKVILLE","MD","20852","39.06218","-77.114221","27,352","0","2000","71","63","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD0721","Leased","D","11","5630 FISHERS LN","ROCKVILLE","MD","20852","39.06218","-77.114221","27,352","0","","","","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","LMD00614","2/28/2023","2/28/2028"
"MD0343","Owned","F","11","8501J MUIRKIRK RD","LAUREL","MD","20708","39.055894","-76.859554","4,402","0","1996","9","","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD0351","Owned","F","11","8501R MUIRKIRK RD","LAUREL","MD","20708","39.055894","-76.859554","861","0","1996","9","","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD1860","Leased","L","11","6707 DEMOCRACY BLVD","BETHESDA","MD","20817","39.023091","-77.137353","226,091","5,963","1990","62","49","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD1860","Leased","D","11","6707 DEMOCRACY BLVD","BETHESDA","MD","20817","39.023091","-77.137353","226,091","5,963","","","","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","LMD00640","7/19/2022","7/18/2032"
"MD1060","Leased","L","3","8140 CORPORATE DR","WHITE MARSH","MD","21236","39.3699885","-76.46811","6,204","0","2003","64","","2402","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ruppersberger, C. (D)","https://ruppersberger.house.gov","","",""
"MD1060","Leased","D","3","8140 CORPORATE DR","WHITE MARSH","MD","21236","39.3699885","-76.46811","6,204","0","","62","","2402","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ruppersberger, C. (D)","https://ruppersberger.house.gov","LMD00255","3/15/2018","3/14/2028"
"MD1030","Leased","L","3","2414 NORTHGATE DR","SALISBURY","MD","21801","38.413968","-75.571042","9,062","0","2000","42","16","2401","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Harris, Andy (R)","https://harris.house.gov/","","",""
"MD1030","Leased","D","3","2414 NORTHGATE DR","SALISBURY","MD","21801","38.413968","-75.571042","9,062","0","","42","16","2401","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Harris, Andy (R)","https://harris.house.gov/","LMD00067","12/7/2019","12/6/2029"
"MD0432","Leased","L","3","200 HARRY S TRUMAN PKWY","ANNAPOLIS","MD","21401","38.97673","-76.555251","5,670","0","2000","50","","2403","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Sarbanes, John (D)","https://sarbanes.house.gov/","","",""
"MD0432","Leased","D","3","200 HARRY S TRUMAN PKWY","ANNAPOLIS","MD","21401","38.97673","-76.555251","5,670","0","","34","","2403","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Sarbanes, John (D)","https://sarbanes.house.gov/","LMD00297","7/16/2019","7/15/2034"
"MD1895","Leased","L","11","15636 LEELAND RD","UPPER MARLBORO","MD","20774","38.8627471","-76.7332087","64","0","2000","","","2405","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Hoyer, Steny (D)","https://hoyer.house.gov/","","",""
"MD1004","Leased","L","3","23330 COTTONWOOD PKWY","CALIFORNIA","MD","20619","38.30949","-76.545181","26,208","0","2000","18","","2405","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Hoyer, Steny (D)","https://hoyer.house.gov/","","",""
"MD1004","Leased","D","3","23330 COTTONWOOD PKWY","CALIFORNIA","MD","20619","38.30949","-76.545181","26,208","0","","18","","2405","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Hoyer, Steny (D)","https://hoyer.house.gov/","LMD00104","6/19/2017","6/18/2027"
"MD1004","Leased","D","3","23330 COTTONWOOD PKWY","CALIFORNIA","MD","20619","38.30949","-76.545181","26,208","0","","18","","2405","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Hoyer, Steny (D)","https://hoyer.house.gov/","LMD00407","10/11/2019","10/10/2029"
"MD0239","Leased","L","11","7500 STANDISH PL","ROCKVILLE","MD","20855","39.1072949","-77.153334","113,730","0","2000","49","","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD0239","Leased","D","11","7500 STANDISH PL","ROCKVILLE","MD","20855","39.1072949","-77.153334","113,730","0","","49","","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","LMD12714","11/14/2015","11/13/2025"
"MD0798","Owned","F","11","5450 MARINELLI RD","ROCKVILLE","MD","20852","39.0471","-77.110761","0","0","","85","65","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD0106","Owned","F","11","4105 SUITLAND RD","SUITLAND","MD","20746","38.8571786","-76.943518","0","0","1967","15","50","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD0232","Owned","F","3","6500 CHERRYWOOD LN","GREENBELT","MD","20770","39.0100441","-76.897185","224,937","4,251","1994","34","50","2404","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD0779","Leased","L","11","5901 AMMENDALE ROAD","BELTSVILLE","MD","20705","39.0560783","-76.904541","95,186","0","2000","9","28","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD0779","Leased","D","11","5901 AMMENDALE ROAD","BELTSVILLE","MD","20705","39.0560783","-76.904541","95,186","0","","9","28","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","LMD00344","3/6/2018","3/5/2028"
"MD1879","Leased","L","11","6705 ROCKLEDGE DR","BETHESDA","MD","20817","39.03102","-77.135531","247,557","0","2000","41","48","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD1879","Leased","D","11","6705 ROCKLEDGE DR","BETHESDA","MD","20817","39.03102","-77.135531","247,557","0","","41","48","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","LMD00153","10/31/2019","10/30/2034"
"MD1879","Leased","D","11","6705 ROCKLEDGE DR","BETHESDA","MD","20817","39.03102","-77.135531","247,557","0","","41","48","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","LMD00158","10/31/2019","10/30/2034"
"MD0205","Owned","F","11","1335 E WEST HWY","SILVER SPRING","MD","20910","38.99336","-77.031591","157,621","14,655","1987","99","89","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD1223","Leased","L","11","6001 EXECUTIVE BLVD","ROCKVILLE","MD","20852","39.05028","-77.120586","153,731","0","2000","84","60","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD1223","Leased","D","11","6001 EXECUTIVE BLVD","ROCKVILLE","MD","20852","39.05028","-77.120586","153,731","0","","","","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","LMD00444","8/29/2022","8/28/2037"
"MD1055","Leased","L","3","11601 PPG RD","CUMBERLAND","MD","21502","39.59072","-78.745451","500,000","0","2000","0","","2406","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Trone, David (D)","https://trone.house.gov","","",""
"MD1055","Leased","D","3","11601 PPG RD","CUMBERLAND","MD","21502","39.59072","-78.745451","500,000","0","","","","2406","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Trone, David (D)","https://trone.house.gov","LMD00909","9/30/2023","9/29/2038"
"MD1007","Leased","L","3","801 INTERNATIONAL DR","LINTHICUM HEIGHTS","MD","21090","39.20584","-76.670981","65,551","0","2000","14","","2403","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Sarbanes, John (D)","https://sarbanes.house.gov/","","",""
"MD1007","Leased","D","3","801 INTERNATIONAL DR","LINTHICUM HEIGHTS","MD","21090","39.20584","-76.670981","65,551","0","","","","2403","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Sarbanes, John (D)","https://sarbanes.house.gov/","LMD00921","9/30/2023","9/29/2033"
"MD1129","Leased","L","3","185 HARRY S TRUMAN PKWY","ANNAPOLIS","MD","21401","38.9812953","-76.561768","6,908","0","2000","26","","2403","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Sarbanes, John (D)","https://sarbanes.house.gov/","","",""
"MD1129","Leased","D","3","185 HARRY S TRUMAN PKWY","ANNAPOLIS","MD","21401","38.9812953","-76.561768","6,908","0","","26","","2403","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Sarbanes, John (D)","https://sarbanes.house.gov/","LMD12208","6/5/2017","6/4/2027"
"MD0352","Owned","F","11","8501T MUIRKIRK RD","LAUREL","MD","20708","39.055894","-76.859554","3,384","0","1996","9","","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD1881","Leased","L","11","CAPITAL GATEWAY DR","SUITLAND","MD","20746","38.830423","-76.911317","574,767","0","2020","43","54","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD1881","Leased","D","11","CAPITAL GATEWAY DR","SUITLAND","MD","20746","38.830423","-76.911317","574,767","0","","43","54","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","LMD00288","1/12/2020","1/15/2035"
"MD1856","Leased","L","11","6500 SHERIFF RD","LANDOVER","MD","20785","38.909109","-76.894478","43,846","0","1960","39","","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD1856","Leased","D","11","6500 SHERIFF RD","LANDOVER","MD","20785","38.909109","-76.894478","43,846","0","","39","","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","LMD12560","5/31/2013","5/30/2028"
"MD1036","Leased","L","3","7111 SECURITY BOULEVARD","WOODLAWN","MD","21244","39.3129156","-76.754539","91,245","0","2000","77","60","2402","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ruppersberger, C. (D)","https://ruppersberger.house.gov","","",""
"MD1036","Leased","D","3","7111 SECURITY BOULEVARD","WOODLAWN","MD","21244","39.3129156","-76.754539","91,245","0","","72","60","2402","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ruppersberger, C. (D)","https://ruppersberger.house.gov","LMD00634","4/30/2020","4/29/2035"
"MD1148","Leased","L","3","309 SUNBURST HWY","CAMBRIDGE","MD","21613","38.5655491","-76.065966","6,236","0","2000","","","2401","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Harris, Andy (R)","https://harris.house.gov/","","",""
"MD1148","Leased","D","3","309 SUNBURST HWY","CAMBRIDGE","MD","21613","38.5655491","-76.065966","6,236","0","","","","2401","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Harris, Andy (R)","https://harris.house.gov/","LMD00746","9/19/2024","9/18/2034"
"MD1850","Owned","F","11","SUITLAND ROAD & SILVER HILL ROAD","SUITLAND","MD","20746","38.848743","-76.924801","0","0","1965","73","58","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD0349","Owned","F","11","8501P MUIRKIRK RD","LAUREL","MD","20708","39.055894","-76.859554","10,257","0","1996","9","","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD1070","Leased","L","3","2700 LORD BALTIMORE DR","WINDSOR MILL","MD","21244","39.32952","-76.752801","9,608","0","1978","35","33","2402","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ruppersberger, C. (D)","https://ruppersberger.house.gov","","",""
"MD1070","Leased","D","3","2700 LORD BALTIMORE DR","WINDSOR MILL","MD","21244","39.32952","-76.752801","9,608","0","","35","33","2402","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ruppersberger, C. (D)","https://ruppersberger.house.gov","LMD00468","8/31/2019","8/30/2034"
